id,strategy,opponent,win_loss
15_47,"[1.0, 0.0, 1.0, 0.4, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.375]","[0.0, 1.0, 1.0, 0.6, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
47_17,"[0.0, 1.0, 1.0, 0.6, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",-1
17_47,"[0.0, 1.0, 1.0, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.6, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
47_22,"[0.0, 1.0, 1.0, 0.6, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]",-1
22_47,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]","[0.0, 1.0, 1.0, 0.6, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
47_23,"[0.0, 1.0, 1.0, 0.6, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.8, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",-1
23_47,"[0.0, 1.0, 1.0, 0.8, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.6, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
47_24,"[0.0, 1.0, 1.0, 0.6, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]",-1
24_47,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.6, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
47_25,"[0.0, 1.0, 1.0, 0.6, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.4, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",-1
